node_id,name,smiles,feat_mw,feat_logp
C_2576,quercitrin,CC1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,448.38000000000017,0.4886999999999995
C_2577,homogentisic acid,O=C(O)Cc1cc(O)ccc1O,168.148,0.7248999999999999
C_2578,tricyclene,CC1(C)C2CC3C(C2)C31C,136.238,2.6885000000000012
C_2579,loliolide,CC1(C)CC(O)CC2(C)OC(=O)C=C12,196.24599999999998,1.4092
C_2580,borneol,CC1(C)C2CCC1(C)C(O)C2,154.253,2.1935000000000002
C_2581,hygrine,CC(=O)CC1CCCN1C,141.214,1.0596999999999999
C_2582,orientin,O=c1cc(-c2ccc(O)c(O)c2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,448.3800000000001,-0.20270000000000032
C_2583,myricitrin,C[C@@H]1O[C@@H](Oc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,464.37900000000013,0.1942999999999998
C_2584,amygdalin,N#CC(O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,457.4320000000001,-3.108019999999997
C_2585,furanodienone,C/C1=C/CC/C(C)=C/C(=O)c2c(C)coc2C1,230.30699999999996,3.9996200000000037
C_2586,isorhamnetin,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,316.265,2.291000000000001
C_2587,sigmoidin f,CC(C)=CCc1c(C2CC(=O)c3c(O)cc(O)cc3O2)cc2c(c1O)OC(C)(C)C=C2,422.4770000000002,5.202800000000006
C_2588,sigmoidin c,CC1(C)C=Cc2cc(C3CC(=O)c4c(O)cc(O)cc4O3)cc(O)c2O1,354.35800000000006,3.694100000000002
C_2589,carvacrol methyl ether,COc1cc(C(C)C)ccc1C,164.248,3.1270200000000017
C_2590,"1,2,4-trimethylbenzene",Cc1ccc(C)c(C)c1,120.195,2.611860000000001
C_2591,furanodienone,C/C1=C\C(=O)c2c(C)coc2C/C(C)=C/CC1,230.30699999999993,3.999620000000003
C_2592,benzyl benzoate,O=C(OCc1ccccc1)c1ccccc1,212.248,3.0436000000000014
C_2593,furanodienone,C/C1=C/C(=O)c2c(C)coc2C/C(C)=C/CC1,230.30699999999993,3.999620000000003
C_2594,cryptochlorogenic acid,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)C[C@](O)(C(=O)O)C[C@H]1O,354.3110000000001,-0.6459000000000006
C_2595,ursolic acid,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C,456.71100000000035,7.089500000000008
